activity,project,workers,duration,time,duration_seconds,start_time,end_time
validate soono survey records,SURVEY MONKEY,Steve Jobs,0:11:38,11:49am September 2nd - 12:01pm September 2nd,698,2019-09-02T11:49:41+05:45,2019-09-02T12:01:19+05:45
prepare for backlog grooming,KAHOOT,Steve Jobs,0:41:54,11:07am September 2nd - 11:49am September 2nd,2514,2019-09-02T11:07:45+05:45,2019-09-02T11:49:39+05:45
dump from previous soono api,SURVEY MONKEY,Steve Jobs,1:00:14,10:07am September 2nd - 11:07am September 2nd,3614,2019-09-02T10:07:30+05:45,2019-09-02T11:07:44+05:45
find missing fields,GS Automation,Prakash Sharma,6:49:19,09:57am September 2nd - 04:46pm September 2nd,24559,2019-09-02T09:57:11+05:45,2019-09-02T16:46:30+05:45
#743 The selected template bar when adding survey templates to a custom survey looks very wonky,SURVEY MONKEY,Sagun Karanjit,0:00:04,07:59pm September 1st - 07:59pm September 1st,4,2019-09-01T19:59:19+05:45,2019-09-01T19:59:23+05:45
#743 The selected template bar when adding survey templates to a custom survey looks very wonky,SURVEY MONKEY,Sagun Karanjit,0:33:00,07:45pm September 1st - 08:18pm September 1st,1980,2019-09-01T19:45:23+05:45,2019-09-01T20:18:23+05:45
#740 Reports and Chart Reports should reflect dates,SURVEY MONKEY,Sagun Karanjit,2:00:00,05:30pm September 1st - 07:30pm September 1st,7200,2019-09-01T17:30:45+05:45,2019-09-01T19:30:45+05:45
#743 The selected template bar when adding survey templates to a custom survey looks very wonky,SURVEY MONKEY,Sagun Karanjit,1:00:00,04:20pm September 1st - 05:20pm September 1st,3600,2019-09-01T16:20:43+05:45,2019-09-01T17:20:43+05:45
#735 Add Contact Name and Contact Email address to Business Table,SURVEY MONKEY,Sagun Karanjit,1:00:00,09:52pm August 31st - 10:52pm August 31st,3600,2019-08-31T21:52:25+05:45,2019-08-31T22:52:25+05:45
#740 Reports and Chart Reports should reflect dates,SURVEY MONKEY,Sagun Karanjit,5:00:00,04:50pm August 31st - 09:50pm August 31st,18000,2019-08-31T16:50:54+05:45,2019-08-31T21:50:54+05:45
fix email report received by business admin,SURVEY MONKEY,Steve Jobs,0:00:22,11:15am August 31st - 11:16am August 31st,22,2019-08-31T11:15:54+05:45,2019-08-31T11:16:16+05:45
fix email report received by business admin,SURVEY MONKEY,Steve Jobs,0:16:11,09:15am August 31st - 09:31am August 31st,971,2019-08-31T09:15:30+05:45,2019-08-31T09:31:41+05:45
review merge request,SURVEY MONKEY,Steve Jobs,1:30:52,07:44am August 31st - 09:15am August 31st,5452,2019-08-31T07:44:38+05:45,2019-08-31T09:15:30+05:45
"#722 As a business admin, I should not see Survey Templates that don't contain questions",SURVEY MONKEY,Sagun Karanjit,2:00:00,07:51pm August 30th - 09:51pm August 30th,7200,2019-08-30T19:51:26+05:45,2019-08-30T21:51:26+05:45
review merge request,SURVEY MONKEY,Steve Jobs,1:03:19,04:53pm August 30th - 05:56pm August 30th,3799,2019-08-30T16:53:40+05:45,2019-08-30T17:56:59+05:45
Planning tasks,GS Automation,Prakash Sharma,63:06:50,10:51am August 30th - 01:58am September 2nd,227210,2019-08-30T10:51:10+05:45,2019-09-02T01:58:00+05:45
735-add-contact-name-and-contact-email-address-to-business-table,SURVEY MONKEY,Steve Jobs,1:20:38,10:46am August 30th - 12:07pm August 30th,4838,2019-08-30T10:46:51+05:45,2019-08-30T12:07:29+05:45
find survey template delete bug,SURVEY MONKEY,Steve Jobs,0:45:04,10:01am August 30th - 10:46am August 30th,2704,2019-08-30T10:01:47+05:45,2019-08-30T10:46:51+05:45
find survey template delete bug,SURVEY MONKEY,Steve Jobs,0:24:09,08:37am August 30th - 09:02am August 30th,1449,2019-08-30T08:37:53+05:45,2019-08-30T09:02:02+05:45
#743 The selected template bar when adding survey templates to a custom survey looks very wonky,SURVEY MONKEY,Sagun Karanjit,3:00:00,07:20pm August 29th - 10:20pm August 29th,10800,2019-08-29T19:20:08+05:45,2019-08-29T22:20:08+05:45
create and update action for dashboard components,SURVEY MONKEY,Steve Jobs,1:00:05,02:02pm August 29th - 03:02pm August 29th,3605,2019-08-29T14:02:44+05:45,2019-08-29T15:02:49+05:45
create and update action for dashboard components,SURVEY MONKEY,Steve Jobs,0:17:36,01:13pm August 29th - 01:31pm August 29th,1056,2019-08-29T13:13:52+05:45,2019-08-29T13:31:28+05:45
fields resolving,GS Automation,Prakash Sharma,24:43:04,10:08am August 29th - 10:51am August 30th,88984,2019-08-29T10:08:06+05:45,2019-08-30T10:51:10+05:45
forgot email template,SURVEY MONKEY,Mausam Khanal,1:20:05,05:33pm August 28th - 06:53pm August 28th,4805,2019-08-28T17:33:12+05:45,2019-08-28T18:53:17+05:45
Mobile hamburger menu,SURVEY MONKEY,Mausam Khanal,1:15:26,04:17pm August 28th - 05:32pm August 28th,4526,2019-08-28T16:17:30+05:45,2019-08-28T17:32:56+05:45
Mobile hamburger menu,SURVEY MONKEY,Mausam Khanal,0:00:48,03:39pm August 28th - 03:40pm August 28th,48,2019-08-28T15:39:12+05:45,2019-08-28T15:40:00+05:45
transportation pdf,GS Automation,Prakash Sharma,11:49:37,11:09am August 28th - 10:59pm August 28th,42577,2019-08-28T11:09:26+05:45,2019-08-28T22:59:03+05:45
number component,SURVEY MONKEY,Steve Jobs,4:29:24,10:06am August 28th - 02:35pm August 28th,16164,2019-08-28T10:06:17+05:45,2019-08-28T14:35:41+05:45
"#722 As a business admin, I should not see Survey Templates that don't contain questions",SURVEY MONKEY,Sagun Karanjit,2:00:00,09:07am August 28th - 11:07am August 28th,7200,2019-08-28T09:07:35+05:45,2019-08-28T11:07:35+05:45
sprint planning meeting,SURVEY MONKEY,Steve Jobs,0:09:30,07:35pm August 27th - 07:44pm August 27th,570,2019-08-27T19:35:19+05:45,2019-08-27T19:44:49+05:45
sprint planning meeting,SURVEY MONKEY,Steve Jobs,1:01:56,05:43pm August 27th - 06:45pm August 27th,3716,2019-08-27T17:43:07+05:45,2019-08-27T18:45:03+05:45
prepare for sprint planning,SURVEY MONKEY,Steve Jobs,0:30:11,05:12pm August 27th - 05:43pm August 27th,1811,2019-08-27T17:12:56+05:45,2019-08-27T17:43:07+05:45
deploy to production,SURVEY MONKEY,Steve Jobs,1:30:18,03:42pm August 27th - 05:12pm August 27th,5418,2019-08-27T15:42:38+05:45,2019-08-27T17:12:56+05:45
mapping fields,GS Automation,Prakash Sharma,10:17:28,02:02pm August 27th - 12:20am August 28th,37048,2019-08-27T14:02:43+05:45,2019-08-28T00:20:11+05:45
trello cards grooming,SURVEY MONKEY,Steve Jobs,0:30:07,10:02am August 27th - 10:32am August 27th,1807,2019-08-27T10:02:42+05:45,2019-08-27T10:32:49+05:45
trello cards grooming,SURVEY MONKEY,Steve Jobs,0:21:33,09:05am August 27th - 09:27am August 27th,1293,2019-08-27T09:05:31+05:45,2019-08-27T09:27:04+05:45
leaderboard-back button should take you back in party room,KAHOOT,Prakash Sharma,0:10:13,07:37pm August 26th - 07:47pm August 26th,613,2019-08-26T19:37:15+05:45,2019-08-26T19:47:28+05:45
backlog grooming meeting,SURVEY MONKEY,Steve Jobs,0:21:44,06:47pm August 26th - 07:09pm August 26th,1304,2019-08-26T18:47:30+05:45,2019-08-26T19:09:14+05:45
leaderboard-back button should take you back in party room,KAHOOT,Prakash Sharma,2:10:39,04:59pm August 26th - 07:09pm August 26th,7839,2019-08-26T16:59:00+05:45,2019-08-26T19:09:39+05:45
leaderboard-back button should take you back in party room,KAHOOT,Prakash Sharma,0:07:04,04:49pm August 26th - 04:56pm August 26th,424,2019-08-26T16:49:13+05:45,2019-08-26T16:56:17+05:45
448-soft-delete-custom-survey,SURVEY MONKEY,Steve Jobs,2:30:13,04:17pm August 26th - 06:47pm August 26th,9013,2019-08-26T16:17:17+05:45,2019-08-26T18:47:30+05:45
"#657 As a business, I should be suggested the Survey templates that I should be using",SURVEY MONKEY,Sagun Karanjit,2:00:00,03:52pm August 26th - 05:52pm August 26th,7200,2019-08-26T15:52:32+05:45,2019-08-26T17:52:32+05:45
737 create email report config after user is created,SURVEY MONKEY,Steve Jobs,0:37:08,11:19am August 26th - 11:56am August 26th,2228,2019-08-26T11:19:17+05:45,2019-08-26T11:56:25+05:45
create email report config after user is created,SURVEY MONKEY,Steve Jobs,0:03:44,11:15am August 26th - 11:19am August 26th,224,2019-08-26T11:15:33+05:45,2019-08-26T11:19:17+05:45
manage cards,SURVEY MONKEY,Steve Jobs,0:46:07,10:04am August 26th - 10:50am August 26th,2767,2019-08-26T10:04:14+05:45,2019-08-26T10:50:21+05:45
Prepare pdf,GS Automation,Prakash Sharma,8:20:07,08:29am August 26th - 04:49pm August 26th,30007,2019-08-26T08:29:00+05:45,2019-08-26T16:49:07+05:45
fields from postgres,GS Automation,Prakash Sharma,5:40:55,04:44pm August 23rd - 10:25pm August 23rd,20455,2019-08-23T16:44:57+05:45,2019-08-23T22:25:52+05:45
404! error page,SURVEY MONKEY,Mausam Khanal,1:43:41,03:54pm August 23rd - 05:38pm August 23rd,6221,2019-08-23T15:54:49+05:45,2019-08-23T17:38:30+05:45
map data from db,GS Automation,Prakash Sharma,1:32:42,03:11pm August 23rd - 04:44pm August 23rd,5562,2019-08-23T15:11:46+05:45,2019-08-23T16:44:28+05:45
password reset flow,SURVEY MONKEY,Mausam Khanal,1:00:11,02:54pm August 23rd - 03:54pm August 23rd,3611,2019-08-23T14:54:38+05:45,2019-08-23T15:54:49+05:45
map data from db,GS Automation,Prakash Sharma,0:36:57,01:59pm August 23rd - 02:36pm August 23rd,2217,2019-08-23T13:59:13+05:45,2019-08-23T14:36:10+05:45
map data from db,GS Automation,Prakash Sharma,0:57:38,01:01pm August 23rd - 01:59pm August 23rd,3458,2019-08-23T13:01:34+05:45,2019-08-23T13:59:12+05:45
revieew merge request,SURVEY MONKEY,Steve Jobs,1:22:51,10:19am August 23rd - 11:42am August 23rd,4971,2019-08-23T10:19:46+05:45,2019-08-23T11:42:37+05:45
connect to psql,GS Automation,Prakash Sharma,4:28:59,08:32am August 23rd - 01:01pm August 23rd,16139,2019-08-23T08:32:25+05:45,2019-08-23T13:01:24+05:45
#678 Cannot import contacts to Constant Contact email system from csv file,SURVEY MONKEY,Sagun Karanjit,0:10:00,08:20pm August 22nd - 08:30pm August 22nd,600,2019-08-22T20:20:56+05:45,2019-08-22T20:30:56+05:45
"#657: As a business, I should be suggested the Survey Templates that are relavant to my business",SURVEY MONKEY,Sagun Karanjit,0:00:01,07:15pm August 22nd - 07:15pm August 22nd,1,2019-08-22T19:15:28+05:45,2019-08-22T19:15:29+05:45
"#657: As a business, I should be suggested the Survey Templates that are relavant to my business",SURVEY MONKEY,Sagun Karanjit,0:00:03,07:15pm August 22nd - 07:15pm August 22nd,3,2019-08-22T19:15:23+05:45,2019-08-22T19:15:26+05:45
"#657: As a business, I should be suggested the Survey Templates that are relavant to my business",SURVEY MONKEY,Sagun Karanjit,0:53:54,06:18pm August 22nd - 07:12pm August 22nd,3234,2019-08-22T18:18:11+05:45,2019-08-22T19:12:05+05:45
#678 Cannot import contacts to Constant Contact email system from csv file,SURVEY MONKEY,Sagun Karanjit,0:27:41,05:40pm August 22nd - 06:07pm August 22nd,1661,2019-08-22T17:40:04+05:45,2019-08-22T18:07:45+05:45
#678 Cannot import contacts to Constant Contact email system from csv file,SURVEY MONKEY,Sagun Karanjit,0:00:04,05:36pm August 22nd - 05:37pm August 22nd,4,2019-08-22T17:36:57+05:45,2019-08-22T17:37:01+05:45
#678 Cannot import contacts to Constant Contact email system from csv file,SURVEY MONKEY,Sagun Karanjit,0:00:05,05:22pm August 22nd - 05:22pm August 22nd,5,2019-08-22T17:22:05+05:45,2019-08-22T17:22:10+05:45
#678 Cannot import contacts to Constant Contact email system from csv file,SURVEY MONKEY,Sagun Karanjit,0:10:00,05:15pm August 22nd - 05:25pm August 22nd,600,2019-08-22T17:15:11+05:45,2019-08-22T17:25:11+05:45
#678 Cannot import contacts to Constant Contact email system from csv file,SURVEY MONKEY,Sagun Karanjit,0:50:16,04:28pm August 22nd - 05:19pm August 22nd,3016,2019-08-22T16:28:59+05:45,2019-08-22T17:19:15+05:45
"#657: As a business, I should be suggested the Survey Templates that are relavant to my business",SURVEY MONKEY,Sagun Karanjit,0:19:02,04:04pm August 22nd - 04:23pm August 22nd,1142,2019-08-22T16:04:09+05:45,2019-08-22T16:23:11+05:45
suggested surveys,SURVEY MONKEY,Steve Jobs,2:29:01,03:57pm August 22nd - 06:26pm August 22nd,8941,2019-08-22T15:57:11+05:45,2019-08-22T18:26:12+05:45
"#657: As a business, I should be suggested the Survey Templates that are relavant to my business",SURVEY MONKEY,Sagun Karanjit,0:45:22,01:03pm August 22nd - 01:49pm August 22nd,2722,2019-08-22T13:03:51+05:45,2019-08-22T13:49:13+05:45
mapping from heroku db,GS Automation,Prakash Sharma,6:49:29,12:50pm August 22nd - 07:40pm August 22nd,24569,2019-08-22T12:50:41+05:45,2019-08-22T19:40:10+05:45
mapping from heroku db,GS Automation,Prakash Sharma,19:41:43,12:50pm August 22nd - 08:32am August 23rd,70903,2019-08-22T12:50:41+05:45,2019-08-23T08:32:24+05:45
suggested surveys,SURVEY MONKEY,Steve Jobs,4:30:05,10:09am August 22nd - 02:39pm August 22nd,16205,2019-08-22T10:09:45+05:45,2019-08-22T14:39:50+05:45
"#657: As a business, I should be suggested the Survey Templates that are relavant to my business",SURVEY MONKEY,Sagun Karanjit,0:20:10,10:57pm August 21st - 11:17pm August 21st,1210,2019-08-21T22:57:14+05:45,2019-08-21T23:17:24+05:45
"#657: As a business, I should be suggested the Survey Templates that are relavant to my business",SURVEY MONKEY,Sagun Karanjit,0:02:07,10:53pm August 21st - 10:55pm August 21st,127,2019-08-21T22:53:48+05:45,2019-08-21T22:55:55+05:45
"As a business, I should be suggested the Survey templates that are relevant to me.",SURVEY MONKEY,Sagun Karanjit,0:25:00,10:30pm August 21st - 10:55pm August 21st,1500,2019-08-21T22:30:07+05:45,2019-08-21T22:55:07+05:45
"#657: As a business, I should be suggested the Survey Templates that are relavant to my business",SURVEY MONKEY,Sagun Karanjit,0:35:56,10:16pm August 21st - 10:52pm August 21st,2156,2019-08-21T22:16:31+05:45,2019-08-21T22:52:27+05:45
team2 planning,SURVEY MONKEY,Prakash Sharma,0:00:04,07:04pm August 21st - 07:04pm August 21st,4,2019-08-21T19:04:01+05:45,2019-08-21T19:04:05+05:45
team2 planning,SURVEY MONKEY,Prakash Sharma,0:19:07,06:07pm August 21st - 06:26pm August 21st,1147,2019-08-21T18:07:50+05:45,2019-08-21T18:26:57+05:45
732-number-component,SURVEY MONKEY,Steve Jobs,2:00:06,09:58am August 21st - 11:58am August 21st,7206,2019-08-21T09:58:52+05:45,2019-08-21T11:58:58+05:45
sprint planning call,KAHOOT,Steve Jobs,0:00:11,08:29pm August 20th - 08:29pm August 20th,11,2019-08-20T20:29:46+05:45,2019-08-20T20:29:57+05:45
sprint planning call,KAHOOT,Steve Jobs,0:36:32,05:57pm August 20th - 06:34pm August 20th,2192,2019-08-20T17:57:42+05:45,2019-08-20T18:34:14+05:45
Blank/ Empty Survey Page,SURVEY MONKEY,Mausam Khanal,0:19:02,05:42pm August 20th - 06:01pm August 20th,1142,2019-08-20T17:42:23+05:45,2019-08-20T18:01:25+05:45
estimate cards for the sprint,KAHOOT,Steve Jobs,1:30:09,04:27pm August 20th - 05:57pm August 20th,5409,2019-08-20T16:27:32+05:45,2019-08-20T17:57:41+05:45
Blank/ Empty Survey Page,SURVEY MONKEY,Mausam Khanal,1:25:29,04:12pm August 20th - 05:38pm August 20th,5129,2019-08-20T16:12:58+05:45,2019-08-20T17:38:27+05:45
mapping fields,GS Automation,Prakash Sharma,10:16:42,11:23am August 20th - 09:40pm August 20th,37002,2019-08-20T11:23:48+05:45,2019-08-20T21:40:30+05:45
mapping fields,GS Automation,Prakash Sharma,31:45:31,11:23am August 20th - 07:09pm August 21st,114331,2019-08-20T11:23:48+05:45,2019-08-21T19:09:19+05:45
call,KAHOOT,Prakash Sharma,0:10:11,09:55pm August 19th - 10:05pm August 19th,611,2019-08-19T21:55:42+05:45,2019-08-19T22:05:53+05:45
call,KAHOOT,Prakash Sharma,1:32:45,05:54pm August 19th - 07:27pm August 19th,5565,2019-08-19T17:54:31+05:45,2019-08-19T19:27:16+05:45
forgotton password design,SURVEY MONKEY,Mausam Khanal,2:43:54,03:54pm August 19th - 06:37pm August 19th,9834,2019-08-19T15:54:05+05:45,2019-08-19T18:37:59+05:45
fields mapping,GS Automation,Prakash Sharma,22:05:05,10:48am August 19th - 08:53am August 20th,79505,2019-08-19T10:48:45+05:45,2019-08-20T08:53:50+05:45
Selecting and configuring Metrics,SURVEY MONKEY,Dan Abrahamov,3:36:09,03:21pm August 16th - 06:57pm August 16th,12969,2019-08-16T15:21:29+05:45,2019-08-16T18:57:38+05:45
Selecting and configuring Metrics,SURVEY MONKEY,Dan Abrahamov,1:58:43,12:48pm August 16th - 02:47pm August 16th,7123,2019-08-16T12:48:39+05:45,2019-08-16T14:47:22+05:45
Selecting and configuring Metrics,SURVEY MONKEY,Dan Abrahamov,0:32:23,12:11pm August 16th - 12:43pm August 16th,1943,2019-08-16T12:11:28+05:45,2019-08-16T12:43:51+05:45
license validation,GS Automation,Prakash Sharma,5:10:58,11:22am August 16th - 04:33pm August 16th,18658,2019-08-16T11:22:07+05:45,2019-08-16T16:33:05+05:45
Selecting and configuring Metrics,SURVEY MONKEY,Dan Abrahamov,0:07:32,05:40pm August 15th - 05:47pm August 15th,452,2019-08-15T17:40:17+05:45,2019-08-15T17:47:49+05:45
"When a business does not have some basic information, ie Location, the business Survey, Report, and Basic Information pages display a blank screen",SURVEY MONKEY,Dan Abrahamov,0:35:46,05:04pm August 15th - 05:40pm August 15th,2146,2019-08-15T17:04:21+05:45,2019-08-15T17:40:07+05:45
stagin server setup,SURVEY MONKEY,Steve Jobs,0:00:08,02:54pm August 15th - 02:54pm August 15th,8,2019-08-15T14:54:42+05:45,2019-08-15T14:54:50+05:45
Number Component (19),SURVEY MONKEY,Dan Abrahamov,0:33:41,02:01pm August 15th - 02:35pm August 15th,2021,2019-08-15T14:01:52+05:45,2019-08-15T14:35:33+05:45
PR fix,SURVEY MONKEY,Dan Abrahamov,2:28:40,11:33am August 15th - 02:01pm August 15th,8920,2019-08-15T11:33:10+05:45,2019-08-15T14:01:50+05:45
stagin server setup,SURVEY MONKEY,Steve Jobs,0:04:08,09:27am August 15th - 09:31am August 15th,248,2019-08-15T09:27:00+05:45,2019-08-15T09:31:08+05:45
help allen on zoho integration,GS Automation,Prakash Sharma,26:10:24,09:11am August 15th - 11:22am August 16th,94224,2019-08-15T09:11:42+05:45,2019-08-16T11:22:06+05:45
server setup,KAHOOT,Prakash Sharma,0:49:18,07:41pm August 14th - 08:30pm August 14th,2958,2019-08-14T19:41:34+05:45,2019-08-14T20:30:52+05:45
server setup,KAHOOT,Prakash Sharma,0:08:40,07:06pm August 14th - 07:14pm August 14th,520,2019-08-14T19:06:10+05:45,2019-08-14T19:14:50+05:45
Some categories should be locked or unavailable,KAHOOT,Dan Abrahamov,2:31:24,04:15pm August 14th - 06:47pm August 14th,9084,2019-08-14T16:15:43+05:45,2019-08-14T18:47:07+05:45
server setup,KAHOOT,Prakash Sharma,0:57:32,04:12pm August 14th - 05:09pm August 14th,3452,2019-08-14T16:12:08+05:45,2019-08-14T17:09:40+05:45
deploy staging server,SURVEY MONKEY,Dan Abrahamov,2:27:33,12:36pm August 14th - 03:04pm August 14th,8853,2019-08-14T12:36:50+05:45,2019-08-14T15:04:23+05:45
deploy to heroku,GS Automation,Prakash Sharma,0:59:15,01:06am August 14th - 02:06am August 14th,3555,2019-08-14T01:06:55+05:45,2019-08-14T02:06:10+05:45
sprint planning,SURVEY MONKEY,Dan Abrahamov,0:49:07,06:04pm August 13th - 06:54pm August 13th,2947,2019-08-13T18:04:53+05:45,2019-08-13T18:54:00+05:45
deploy staging server,SURVEY MONKEY,Dan Abrahamov,1:00:10,05:04pm August 13th - 06:04pm August 13th,3610,2019-08-13T17:04:43+05:45,2019-08-13T18:04:53+05:45
Estimating points,SURVEY MONKEY,Dan Abrahamov,1:00:29,04:04pm August 13th - 05:04pm August 13th,3629,2019-08-13T16:04:14+05:45,2019-08-13T17:04:43+05:45
[Phase 2] Some categories should be locked or unavailable (7),KAHOOT,Dan Abrahamov,0:11:34,03:06pm August 13th - 03:18pm August 13th,694,2019-08-13T15:06:49+05:45,2019-08-13T15:18:23+05:45
[Phase 2] Some categories should be locked or unavailable (7),KAHOOT,Dan Abrahamov,0:35:38,01:42pm August 13th - 02:18pm August 13th,2138,2019-08-13T13:42:45+05:45,2019-08-13T14:18:23+05:45
[Phase 2] Some categories should be locked or unavailable (7),KAHOOT,Dan Abrahamov,0:34:05,01:08pm August 13th - 01:42pm August 13th,2045,2019-08-13T13:08:39+05:45,2019-08-13T13:42:44+05:45
build number component for issued rewards,SURVEY MONKEY,Steve Jobs,1:00:04,12:56pm August 13th - 01:56pm August 13th,3604,2019-08-13T12:56:55+05:45,2019-08-13T13:56:59+05:45
build number component for survey participants,SURVEY MONKEY,Steve Jobs,1:31:09,11:25am August 13th - 12:56pm August 13th,5469,2019-08-13T11:25:31+05:45,2019-08-13T12:56:40+05:45
setup staging server,SURVEY MONKEY,Steve Jobs,0:51:15,10:34am August 13th - 11:25am August 13th,3075,2019-08-13T10:34:15+05:45,2019-08-13T11:25:30+05:45
setup staging server,SURVEY MONKEY,Steve Jobs,0:14:20,09:58am August 13th - 10:12am August 13th,860,2019-08-13T09:58:18+05:45,2019-08-13T10:12:38+05:45
setup staging server,SURVEY MONKEY,Steve Jobs,1:05:08,08:31am August 13th - 09:36am August 13th,3908,2019-08-13T08:31:20+05:45,2019-08-13T09:36:28+05:45
soono meeting,SURVEY MONKEY,Steve Jobs,0:30:00,08:01am August 13th - 08:31am August 13th,1800,2019-08-13T08:01:20+05:45,2019-08-13T08:31:20+05:45
driver license ocr spike,GS Automation,Prakash Sharma,11:54:13,07:56am August 13th - 07:51pm August 13th,42853,2019-08-13T07:56:47+05:45,2019-08-13T19:51:00+05:45
soono meeting,SURVEY MONKEY,Steve Jobs,1:24:13,07:44pm August 12th - 09:08pm August 12th,5053,2019-08-12T19:44:30+05:45,2019-08-12T21:08:43+05:45
setup new production server,SURVEY MONKEY,Steve Jobs,0:30:07,07:14pm August 12th - 07:44pm August 12th,1807,2019-08-12T19:14:23+05:45,2019-08-12T19:44:30+05:45
setup new production server,SURVEY MONKEY,Steve Jobs,0:42:13,05:53pm August 12th - 06:35pm August 12th,2533,2019-08-12T17:53:18+05:45,2019-08-12T18:35:31+05:45
Sever setup,SURVEY MONKEY,Dan Abrahamov,2:05:32,04:34pm August 12th - 06:40pm August 12th,7532,2019-08-12T16:34:48+05:45,2019-08-12T18:40:20+05:45
setup new production server,SURVEY MONKEY,Steve Jobs,4:11:07,01:19pm August 12th - 05:30pm August 12th,15067,2019-08-12T13:19:10+05:45,2019-08-12T17:30:17+05:45
[Phase 2] As a user I should be able to view and buy from multiple offers of keys,KAHOOT,Dan Abrahamov,3:03:19,01:18pm August 12th - 04:21pm August 12th,10999,2019-08-12T13:18:00+05:45,2019-08-12T16:21:19+05:45
Number Component (19),SURVEY MONKEY,Dan Abrahamov,0:17:26,12:58pm August 12th - 01:16pm August 12th,1046,2019-08-12T12:58:49+05:45,2019-08-12T13:16:15+05:45
fill missing values in pdf,GS Automation,Prakash Sharma,24:58:57,06:57am August 12th - 07:56am August 13th,89937,2019-08-12T06:57:47+05:45,2019-08-13T07:56:44+05:45
api for number component in dashboard,SURVEY MONKEY,Steve Jobs,2:25:32,07:05pm August 11th - 09:30pm August 11th,8732,2019-08-11T19:05:00+05:45,2019-08-11T21:30:32+05:45
mapping fields,GS Automation,Prakash Sharma,16:38:49,02:18pm August 11th - 06:57am August 12th,59929,2019-08-11T14:18:56+05:45,2019-08-12T06:57:45+05:45
api for number component in dashboard,SURVEY MONKEY,Steve Jobs,3:00:31,11:51am August 11th - 02:52pm August 11th,10831,2019-08-11T11:51:49+05:45,2019-08-11T14:52:20+05:45
soono server setup,SURVEY MONKEY,Steve Jobs,0:13:17,11:38am August 11th - 11:51am August 11th,797,2019-08-11T11:38:32+05:45,2019-08-11T11:51:49+05:45
soono server setup,SURVEY MONKEY,Steve Jobs,0:00:27,09:21am August 11th - 09:21am August 11th,27,2019-08-11T09:21:06+05:45,2019-08-11T09:21:33+05:45
soono server setup,SURVEY MONKEY,Steve Jobs,0:00:27,07:51am August 11th - 07:51am August 11th,27,2019-08-11T07:51:13+05:45,2019-08-11T07:51:40+05:45
soono server setup,SURVEY MONKEY,Steve Jobs,0:00:27,08:28pm August 10th - 08:28pm August 10th,27,2019-08-10T20:28:22+05:45,2019-08-10T20:28:49+05:45
soono server setup,SURVEY MONKEY,Steve Jobs,0:00:11,04:13pm August 10th - 04:14pm August 10th,11,2019-08-10T16:13:58+05:45,2019-08-10T16:14:09+05:45
soono server setup,SURVEY MONKEY,Steve Jobs,0:54:17,03:19pm August 10th - 04:13pm August 10th,3257,2019-08-10T15:19:23+05:45,2019-08-10T16:13:40+05:45
automate initial server setup,SURVEY MONKEY,Steve Jobs,0:27:17,05:16pm August 8th - 05:44pm August 8th,1637,2019-08-08T17:16:55+05:45,2019-08-08T17:44:12+05:45
[Phase 2] As a user I should be able to view and buy from multiple offers of keys,KAHOOT,Dan Abrahamov,2:01:01,03:47pm August 8th - 05:48pm August 8th,7261,2019-08-08T15:47:34+05:45,2019-08-08T17:48:35+05:45
Number Component (19),SURVEY MONKEY,Dan Abrahamov,2:12:12,01:25pm August 8th - 03:37pm August 8th,7932,2019-08-08T13:25:46+05:45,2019-08-08T15:37:58+05:45
Number Component (19),SURVEY MONKEY,Dan Abrahamov,0:26:42,12:57pm August 8th - 01:23pm August 8th,1602,2019-08-08T12:57:05+05:45,2019-08-08T13:23:47+05:45
call for dashboard component,SURVEY MONKEY,Steve Jobs,0:30:07,10:14am August 8th - 10:44am August 8th,1807,2019-08-08T10:14:18+05:45,2019-08-08T10:44:25+05:45
call for dashboard component,SURVEY MONKEY,Steve Jobs,0:17:50,08:45am August 8th - 09:03am August 8th,1070,2019-08-08T08:45:23+05:45,2019-08-08T09:03:13+05:45
mapping fields,GS Automation,Prakash Sharma,10:36:45,08:15am August 8th - 06:52pm August 8th,38205,2019-08-08T08:15:40+05:45,2019-08-08T18:52:25+05:45
,SURVEY MONKEY,Prakash Sharma,0:00:04,08:04am August 8th - 08:04am August 8th,4,2019-08-08T08:04:44+05:45,2019-08-08T08:04:48+05:45
call for dashboard component,SURVEY MONKEY,Steve Jobs,0:57:30,06:37am August 8th - 07:35am August 8th,3450,2019-08-08T06:37:48+05:45,2019-08-08T07:35:18+05:45
fill missing values in pdf,GS Automation,Prakash Sharma,1:22:47,09:49pm August 7th - 11:12pm August 7th,4967,2019-08-07T21:49:24+05:45,2019-08-07T23:12:11+05:45
[Phase 2] As a user I should be able to view and buy from multiple offers of keys,KAHOOT,Dan Abrahamov,0:21:53,03:52pm August 7th - 04:13pm August 7th,1313,2019-08-07T15:52:00+05:45,2019-08-07T16:13:53+05:45
Number Component (19),SURVEY MONKEY,Dan Abrahamov,2:44:47,12:50pm August 7th - 03:34pm August 7th,9887,2019-08-07T12:50:08+05:45,2019-08-07T15:34:55+05:45
fill missing values in pdf,GS Automation,Prakash Sharma,7:36:10,08:59am August 7th - 04:36pm August 7th,27370,2019-08-07T08:59:50+05:45,2019-08-07T16:36:00+05:45
process enhancement meeting soono,SURVEY MONKEY,Prakash Sharma,0:50:22,10:19pm August 6th - 11:09pm August 6th,3022,2019-08-06T22:19:05+05:45,2019-08-06T23:09:27+05:45
